X;Y;Z
-0.36672974;13.083.954;0.11717224
-0.9694061;10.736.847;0.5728607
-0.38945007;0.5476074;0.13137817
-12.633.972;0.6080322;-0.22749329
-0.4883423;-0.08117676;-0.42529297
0.27301025;-0.6023102;-0.21321106
0.7137909;-0.16752625;-0.058273315
10.142.059;-0.10267639;-0.38323975
0.7996979;-0.94937134;0.24501038
0.76509094;-11.733.704;0.06820679
0.6572571;-0.8360596;-0.22229004
0.32662964;-0.6529999;-0.53715515
0.39149475;-0.60839844;-0.2821045
0.8833008;-0.069000244;0.0569458
0.5780945;0.3521576;0.4294281
-0.78556824;-0.06851196;0.846756
-11.829.834;-0.31687927;0.31704712
-0.9764557;0.3691101;-0.29930115
-0.3955536;14.551.086;-0.2715454
-0.5122986;16.799.011;-0.15530396
-0.56129456;0.9666443;0.15162659
-0.56292725;0.82940674;0.5805359
-0.5538788;0.20471191;0.46424866
0.08352661;0.044021606;-0.43170166
-0.69522095;-13.892.517;-0.6851959
-0.05757141;-0.6019592;-0.6591339
0.96728516;-0.35183716;-0.13302612
13.084.717;-0.11578369;-0.19320679
0.7746887;-10.523.529;0.3649292
10.454.102;-10.556.641;0.10847473
0.60975647;-0.75642395;-0.23576355
0.21139526;-0.54148865;-0.599411
0.049301147;-0.3184967;-0.17404175
0.56921387;0.17041016;0.026565552
0.5;0.58987427;0.34703064
-0.54122925;-0.25135803;10.631.866
-0.69480896;0.11260986;0.85975647
-12.135.315;0.32966614;-0.3323822
-0.61898804;17.970.428;-0.08673096
-0.30203247;17.659.912;-0.09248352
-0.58200073;13.464.508;0.124191284
-0.47517395;0.9248657;0.7108002
-0.8736725;0.76815796;0.47753906
0.68141174;0.24864197;-0.52593994
-2.207.016;-0.3164673;-0.59059143
0.5165863;-0.14276123;-0.67155457
0.4447937;0.076187134;-0.24461365
14.068.604;0.04055786;-0.004486084
0.66204834;-0.6226959;0.15631104
10.440.521;-1.164.917;0.38684082
1.008.606;-0.7171478;-0.37294006
0.76039124;-0.91607666;-0.5686035
0.0848999;-10.735.321;-0.42599487
0.33714294;-0.49829102;0.5951538
10.719.299;1.320.221;0.34436035
0.030395508;0.46961975;0.29719543
-0.9326477;0.010818481;0.7107239
-10.986.023;0.07003784;-0.45344543
-0.9699707;0.30358887;-0.6752167
-0.45155334;0.92007446;0.016036987
-0.7002411;0.80145264;0.095062256
-0.94403076;0.43605042;0.3680725
-0.9134064;0.42381287;0.53245544
-0.27537537;-0.30915833;-0.30020142
-0.3779297;-0.19810486;-0.71455383
0.10583496;-14.146.423;-0.6953888
0.627182;-0.15536499;-0.20594788
13.852.234;0.51441956;-0.058166504
113.974;0.41064453;-0.02746582
0.8280792;-0.056411743;0.35572815
0.7089386;-0.0054626465;-0.20223999
0.48544312;-0.5485077;-0.48919678
0.06477356;-0.97714233;-0.5794525
0.084121704;-0.8590851;-0.057144165
0.59033203;0.033096313;0.45365906
0.3667755;0.86712646;0.74176025
-0.48510742;0.5724335;0.8054199
-0.89372253;0.10972595;0.40351868
-0.96224976;0.39509583;-0.15534973
-0.54226685;12.148.895;-0.042663574
-0.38641357;14.036.713;-0.06686401
-0.45828247;12.406.158;0.039871216
-0.6179199;10.464.325;0.34832764
-0.65119934;0.63742065;0.30142212
-0.3796234;0.67085266;-0.15084839
-0.0068511963;0.2779541;-11.387.329
0.18156433;-0.8115082;-0.3646698
0.9866791;-0.7711792;0.09585571
13.467.712;-0.21191406;-0.33509827
11.933.594;-0.7968445;0.555542
10.647.583;-0.76794434;0.25170898
0.7993927;-0.5674286;-0.3866272
0.16262817;-0.8790436;-0.45773315
-0.14671326;-0.9117737;0.15797424
0.5370178;-0.020431519;0.32304382
0.48594666;0.65460205;0.4265442
